종목코드	6자리코드	종목명	시장구분	상장주식수
460940	460940	피앤에스로보틱스	KOSDAQ	13255480
319660	319660	피에스케이	KOSDAQ GLOBAL	28966714
31980	031980	피에스케이홀딩스	KOSDAQ	21562395
2230	002230	피에스텍	KOSDAQ	19273820
43370	043370	피에이치에이	KOSDAQ	21000000
239890	239890	피엔에이치테크	KOSDAQ	9935755
347740	347740	피엔케이피부임상연구센타	KOSDAQ	30010576
137400	137400	피엔티	KOSDAQ GLOBAL	23690728
257370	257370	피엔티엠에스	KOSDAQ	12504861
147760	147760	피엠티	KOSDAQ	10819866
128660	128660	피제이메탈	KOSDAQ	24803369
6140	006140	피제이전자	KOSDAQ	15000000
376180	376180	피코그램	KOSDAQ	18561038
304840	304840	피플바이오	KOSDAQ	21228311
87600	087600	픽셀플러스	KOSDAQ	8166558
291810	291810	핀텔	KOSDAQ	11368712
378340	378340	필에너지	KOSDAQ	21462882
161580	161580	필옵틱스	KOSDAQ	23402747
347770	347770	핌스	KOSDAQ	22857042
163730	163730	핑거	KOSDAQ	9406568
417180	417180	핑거스토리	KOSDAQ	17548623
469880	469880	하나30호스팩	KOSDAQ	7305000
469900	469900	하나31호스팩	KOSDAQ	5605000
475240	475240	하나32호스팩	KOSDAQ	3200000
475250	475250	하나33호스팩	KOSDAQ	3700000
484130	484130	하나34호스팩	KOSDAQ	4520000
0041L0	0041L0	하나35호스팩	KOSDAQ	6030000
0101C0	0101C0	하나36호스팩	KOSDAQ	7740000
86790	086790	하나금융지주	KOSPI	278325814
299030	299030	하나기술	KOSDAQ	7994910
67310	067310	하나마이크론	KOSDAQ	66413951
166090	166090	하나머티리얼즈	KOSDAQ GLOBAL	19777674
293480	293480	하나제약	KOSPI	17772946
39130	039130	하나투어	KOSPI	15489932
136480	136480	하림	KOSDAQ	106209702
3380	003380	하림지주	KOSDAQ GLOBAL	112005621
450330	450330	하스	KOSDAQ	8186843
101670	101670	하이드로리튬	KOSDAQ	56498284
365590	365590	하이딥	KOSDAQ	30956622
149980	149980	하이로닉	KOSDAQ	21194363
13030	013030	하이록코리아	KOSDAQ	11768144
352820	352820	하이브	KOSPI	43039485
126700	126700	하이비젼시스템	KOSDAQ	14942112
71090	071090	하이스틸	KOSPI	20191471
160190	160190	하이젠알앤엠	KOSDAQ	30888000
221840	221840	하이즈항공	KOSDAQ	18700561
106190	106190	하이텍팜	KOSDAQ	10633173
80	000080	하이트진로	KOSPI	70133611
87	000087	하이트진로2우B	KOSPI	1130138
140	000140	하이트진로홀딩스	KOSPI	23206765
145	000145	하이트진로홀딩스우	KOSPI	470810
65650	065650	하이퍼코퍼레이션	KOSDAQ	13335216
66130	066130	하츠	KOSDAQ	12800000
152550	152550	한국ANKOR유전	KOSPI	70020000
4590	004590	한국가구	KOSDAQ	15000000
36460	036460	한국가스공사	KOSPI	92313000
39340	039340	한국경제TV	KOSDAQ	22500000
5430	005430	한국공항	KOSPI	3166355
71050	071050	한국금융지주	KOSPI	55725992
71055	071055	한국금융지주우	KOSPI	5858251
34950	034950	한국기업평가	KOSDAQ	4540514
10040	010040	한국내화	KOSPI	41067062
25540	025540	한국단자	KOSPI	10115000
222980	222980	한국맥널티	KOSDAQ	11031483
10100	010100	한국무브넥스	KOSPI	30450420
331660	331660	한국미라클피플사	KONEX	1100000
256840	256840	한국비엔씨	KOSDAQ	68394886
219750	219750	한국비티비	KOSDAQ	65426885
4090	004090	한국석유	KOSPI	12694120
25550	025550	한국선재	KOSDAQ	25514004
2200	002200	한국수출포장	KOSPI	40000000
2960	002960	한국쉘석유	KOSPI	1300000
17890	017890	한국알콜	KOSDAQ	21273506
240	000240	한국앤컴퍼니	KOSPI	94935240
80720	080720	한국유니온제약	KOSDAQ	7912828
123890	123890	한국자산신탁	KOSPI	122373926
15760	015760	한국전력	KOSPI	641964077
41460	041460	한국전자인증	KOSDAQ	19000000
6200	006200	한국전자홀딩스	KOSPI	46803136
101680	101680	한국정밀기계	KOSDAQ	8404000
39740	039740	한국정보공학	KOSDAQ	8018397
53300	053300	한국정보인증	KOSDAQ	42441361
25770	025770	한국정보통신	KOSDAQ	37444271
458610	458610	한국제12호스팩	KOSDAQ	4230000
464440	464440	한국제13호스팩	KOSDAQ	4320000
479880	479880	한국제15호스팩	KOSDAQ	6870000
27970	027970	한국제지	KOSPI	190178237
23350	023350	한국종합기술	KOSPI	10950000
25890	025890	한국주강	KOSPI	11309259
970	000970	한국주철관	KOSPI	22800500
104700	104700	한국철강	KOSPI	36450000
62970	062970	한국첨단소재	KOSDAQ	23059076
17960	017960	한국카본	KOSPI	51908452
23760	023760	한국캐피탈	KOSDAQ	315609576
54040	054040	한국컴퓨터	KOSDAQ	16071290
161890	161890	한국콜마	KOSPI	23605077
21650	021650	한국큐빅	KOSDAQ	16350563
161390	161390	한국타이어앤테크놀로지	KOSPI	123875069
34830	034830	한국토지신탁	KOSPI	252489230
7280	007280	한국특강	KOSPI	60813311
32300	032300	한국파마	KOSDAQ	10906701
37230	037230	한국팩키지	KOSDAQ	29800327
448900	448900	한국피아이엠	KOSDAQ	6004457
47810	047810	한국항공우주	KOSPI	97475107
123690	123690	한국화장품	KOSPI	16068000
3350	003350	한국화장품제조	KOSPI	4532000
30520	030520	한글과컴퓨터	KOSDAQ GLOBAL	24179744
52600	052600	한네트	KOSDAQ	11563700
11500	011500	한농화성	KOSPI	15637042
2390	002390	한독	KOSPI	13763533
256150	256150	한독크린텍	KOSDAQ	8395000
92460	092460	한라IMS	KOSDAQ	17109680
125490	125490	한라캐스트	KOSDAQ	36502352
53690	053690	한미글로벌	KOSPI	10957550
42700	042700	한미반도체	KOSPI	95312200
8930	008930	한미사이언스	KOSPI	68391550
128940	128940	한미약품	KOSPI	12810991
452190	452190	한빛레이저	KOSDAQ	23366557
47080	047080	한빛소프트	KOSDAQ	24822362
9240	009240	한샘	KOSPI	23533928
452280	452280	한선엔지니어링	KOSDAQ	17866881
20000	020000	한섬	KOSPI	22437747
3680	003680	한성기업	KOSPI	6209515
66980	066980	한성크린텍	KOSDAQ	51935125
105630	105630	한세실업	KOSPI	40000000
69640	069640	한세엠케이	KOSPI	44806502
16450	016450	한세예스24홀딩스	KOSPI	40000000
9180	009180	한솔로지스틱스	KOSPI	28155825
114810	114810	한솔아이원스	KOSDAQ	28593174
70590	070590	한솔인티큐브	KOSDAQ	13879521
213500	213500	한솔제지	KOSPI	23800576
14680	014680	한솔케미칼	KOSPI	11335195
4710	004710	한솔테크닉스	KOSPI	32109878
4150	004150	한솔홀딩스	KOSPI	41026620
25750	025750	한솔홈데코	KOSPI	80565149
42520	042520	한스바이오메드	KOSDAQ	14261367
4960	004960	한신공영	KOSPI	11570702
11700	011700	한신기계	KOSPI	32446151
430690	430690	한싹	KOSDAQ	10895327
78350	078350	한양디지텍	KOSDAQ	15244382
45100	045100	한양이엔지	KOSDAQ	18000000
1750	001750	한양증권	KOSPI	12728534
1755	001755	한양증권우	KOSPI	525000
18880	018880	한온시스템	KOSPI	1026262552
9420	009420	한올바이오파마	KOSPI	52240638
320000	320000	한울반도체	KOSDAQ	32897224
91440	091440	한울소재과학	KOSDAQ	30843445
276730	276730	한울앤제주	KOSDAQ	22149847
14130	014130	한익스프레스	KOSPI	12000000
24740	024740	한일단조	KOSDAQ	32897049
5860	005860	한일사료	KOSDAQ	39403685
300720	300720	한일시멘트	KOSPI	73545209
2220	002220	한일철강	KOSPI	26697460
3300	003300	한일홀딩스	KOSPI	30832884
7770	007770	한일화학	KOSDAQ	3510000
51600	051600	한전KPS	KOSPI	45000000
52690	052690	한전기술	KOSPI	38220000
130660	130660	한전산업	KOSPI	32600000
198940	198940	한주라이트메탈	KOSDAQ	38922978
58450	058450	한주에이알티	KOSDAQ	18751405
107640	107640	한중엔시에스	KOSDAQ	9064946
2320	002320	한진	KOSPI	15235010
3480	003480	한진중공업홀딩스	KOSPI	29529812
180640	180640	한진칼	KOSPI	66762279
18064K	18064K	한진칼우	KOSPI	536766
5110	005110	한창	KOSPI	21106407
79170	079170	한창산업	KOSDAQ	5200000
9460	009460	한창제지	KOSPI	59667486
372910	372910	한컴라이프케어	KOSPI	27674406
54920	054920	한컴위드	KOSDAQ	28217081
457370	457370	한켐	KOSDAQ	8027134
2680	002680	한탑	KOSDAQ	32316799
98070	098070	한텍	KOSDAQ	11121141
880	000880	한화	KOSPI	74958735
00088K	00088K	한화3우B	KOSPI	19404441
452260	452260	한화갤러리아	KOSPI	193859610
45226K	45226K	한화갤러리아우	KOSPI	2904470
451800	451800	한화리츠	KOSPI	179600000
489790	489790	한화비전	KOSPI	50488390
88350	088350	한화생명	KOSPI	868530000
370	000370	한화손해보험	KOSPI	116738915
9830	009830	한화솔루션	KOSPI	171892536
9835	009835	한화솔루션우	KOSPI	2575349
272210	272210	한화시스템	KOSPI	188919389
12450	012450	한화에어로스페이스	KOSPI	51563401
82740	082740	한화엔진	KOSPI	83447142
42660	042660	한화오션	KOSPI	306413394
