종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"266160","RISE 고배당","29380","205","0.70","29332.25","29195","29755","29120","441870","13013280438","174811000000","0","5950000","FnGuide 고배당포커스 지수","20687.22","91.19","0.44"
"481430","RISE 국고채10년액티브","101765","365","0.36","101708.04","101685","101840","101540","1293","131499390","147661015000","0","1451000","KAP 국고채 10년 지수(총수익)","111.16","0.49","0.44"
"114100","RISE 국고채3년","108050","45","0.04","108084.38","108040","108165","108040","4775","516056710","169206300000","0","1566000","KTB INDEX(시장가격)","10299.83","7.11","0.07"
"282000","RISE 국고채3년선물인버스","112620","-25","-0.02","112581.28","112600","112660","112575","10","1126010","21510420000","0","191000","국채선물지수","1217.92","0.58","0.05"
"451670","RISE 국채30년레버리지(합성)","18100","210","1.17","18094.89","17975","18120","17975","943","17041925","9050000000","0","500000","KAP 국채30년 TR 지수(총수익)","90.04","0.78","0.87"
"295000","RISE 국채선물10년","53160","210","0.40","53200.01","53170","53170","53085","18","955827","7123440000","0","134000","10년국채선물지수","1180.70","3.71","0.32"
"295020","RISE 국채선물10년인버스","57420","-165","-0.29","57359.66","57410","57465","57390","29","1664885","33418440000","0","582000","10년국채선물지수","1180.70","3.71","0.32"
"432600","RISE 국채선물3년","55100","50","0.09","55091.68","55075","55115","55075","37","2038030","5510000000","0","100000","국채선물지수","1217.92","0.58","0.05"
"397420","RISE 국채선물5년추종","50995","105","0.21","50999.58","51010","51010","50970","4","203960","5201490000","0","102000","5년 국채선물 추종 지수","994.54","1.27","0.13"
"0114X0","RISE 글로벌게임테크TOP3Plus","7905","-210","-2.59","7937.16","7980","8015","7870","4720","37478254","5533500000","0","700000","Solactive-KEDI 글로벌 게임 테크 TOP3 플러스 지수","4556.83","-55.11","-1.19"
"437370","RISE 글로벌농업경제","11375","-20","-0.18","11310.22","11360","11395","11280","7751","88078345","6825000000","0","600000","MVIS Global Agribusiness Index(Price Return)","3434.98","5.90","0.17"
"375270","RISE 글로벌데이터센터리츠(합성)","14615","420","2.96","14683.58","14595","14625","14585","5612","82019800","10230500000","0","700000","Kelly Data Center & Tech Infrastructure Net Total Return Index","1830.55","17.43","0.96"
"475380","RISE 글로벌리얼티인컴","11150","185","1.69","11191.78","10980","11160","10980","25324","281878998","32335000000","0","2900000","Solactive Global Realty Income Index(Price Return)","3163.60","60.88","1.96"
"476310","RISE 글로벌비만산업TOP2+","9930","30","0.30","10119.32","9900","9935","9880","2036","20179320","5461500000","0","550000","KEDI 글로벌 비만 산업 Top2+ 지수(Price Return)","3638.99","0.00","0.00"
"417450","RISE 글로벌수소경제","12990","-170","-1.29","12939.64","13100","13100","12785","22367","287318462","18835500000","0","1450000","Indxx Hydrogen Economy Index (PR)","2933.54","-4.45","-0.15"
"442320","RISE 글로벌원자력","41175","-540","-1.29","41438.66","41000","41660","40890","192038","7931077006","382927500000","0","9300000","iSelect 글로벌원자력 지수(시장가격)","5916.61","40.48","0.69"
"461490","RISE 글로벌자산배분액티브","14860","-135","-0.90","14879.66","14900","14920","14845","337488","5021974710","401963000000","0","27050000","Bloomberg Multi-Asset Weighted (KRW ETFs) 지수(시장가격)","2048.37","-15.61","-0.76"
"459750","RISE 글로벌주식분산액티브","17245","-190","-1.09","17206.62","17355","17355","17130","13334","229622085","29316500000","0","1700000","Bloomberg Global Equity Market Weighted Index(Price Return)","2422.61","-11.55","-0.47"
"399580","RISE 글로벌클린에너지","10190","-170","-1.64","10103.59","10085","10195","9975","18206","184399458","10190000000","0","1000000","S&P Global Clean Energy Transition Index (Price Return)","1174.13","-4.13","-0.35"
"276650","RISE 글로벌테크놀로지(합성 H)","37750","-1020","-2.63","37933.38","38027","38050","37730","3465","131164585","28312500000","0","750000","S&P Global 1200 Information Technology and Interactive Media & Services(PR)","4029.71","-19.74","-0.49"
"336160","RISE 금융채액티브","101725","50","0.05","101708.61","101705","101745","101695","539","54833750","42724500000","0","420000","KIS 종합채권금융채 2.5Y-3Y 지수 (총수익)","139.75","0.10","0.07"
"326230","RISE 내수주플러스","12775","-25","-0.20","12786.12","12795","12855","12700","48872","624072060","13797000000","0","1080000","FnGuide 내수주플러스 지수","1763.14","0.07","0.00"
"367760","RISE 네트워크인프라","28940","-320","-1.09","28913.53","28955","29475","28900","238413","6959615897","102737000000","0","3550000","FnGuide 네트워크 인프라 지수","3998.76","-52.61","-1.30"
"272560","RISE 단기국공채액티브","113415","5","0.00","113429.87","113430","113435","113415","6561","744191290","194053065000","0","1711000","KIS 종합채권국공채3M~1.5Y지수","138.98","0.08","0.06"
"385550","RISE 단기채권알파액티브","112452","17","0.02","112454.03","112385","112460","112385","8350","938826962","271684032000","0","2416000","KIS 단기채권알파지수(AA-이상)(총수익지수)","127.22","0.08","0.06"
"196230","RISE 단기통안채","115485","25","0.02","115483.51","115475","115485","115475","2031","234532268","183967605000","0","1593000","KIS 통안채 5개월 지수(총수익)","13105.24","5.55","0.04"
"0061Z0","RISE 단기특수은행채액티브","50235","5","0.01","50229.36","50230","50235","50230","2129","106946395","1282901430000","0","25538000","KAP 단기 특수은행채 지수(시장가격)","115.53","0.05","0.04"
"315960","RISE 대형고배당10TR","56310","-90","-0.16","56146.77","56400","57040","55940","423081","23915573764","335044500000","0","5950000","WISE 대형고배당10 TR 지수","6594.20","-21.96","-0.33"
"0138D0","RISE 동학개미","13495","-175","-1.28","13542.27","13450","13737","13395","25589","346801165","11470750000","0","850000","FnGuide 동학개미 지수","4672.51","-59.78","-1.26"
"455890","RISE 머니마켓액티브","54545","5","0.01","54547.19","54545","54547","54540","317465","17315717128","2108382430000","0","38654000","KIS 시가평가 MMF 지수 (총수익지수)","119.60","0.05","0.04"
"401170","RISE 메타버스","8015","-125","-1.54","8005.49","8120","8185","7985","26305","211371440","102592000000","0","12800000","iSelect 메타버스 지수(시장가격지수)","1677.09","-32.19","-1.88"
"481340","RISE 미국30년국채액티브","9975","175","1.79","9986.01","9980","9990","9955","42356","422567677","30423750000","0","3050000","Bloomberg U.S Treasury 20+ Year Total Return Index","608.59","2.84","0.47"
"472870","RISE 미국30년국채엔화노출(합성 H)","8220","90","1.11","8276.06","8180","8275","8180","1363657","11219182544","373188000000","0","45400000","KIS 미국채30년 엔화노출 지수(USD/JPY 헤지)(총수익지수)","7330.08","78.01","1.08"
